Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date,Scorecard
Mohammed Shami,9.5,-,57,7,5.79,India,v New Zealand,Wankhede,15 Nov 2023,ODI # 4703
Mohammed Shami,5.0,1,18,5,3.6,India,v Sri Lanka,Wankhede,02 Nov 2023,ODI # 4690
RA Jadeja,9.0,1,33,5,3.66,India,v South Africa,Eden Gardens,05 Nov 2023,ODI # 4694
Shaheen Shah Afridi,10.0,1,54,5,5.4,Pakistan,v Australia,Bengaluru,20 Oct 2023,ODI # 4675
Mohammed Shami,10.0,-,54,5,5.4,India,v New Zealand,Dharamsala,22 Oct 2023,ODI # 4678
MJ Santner,10.0,-,59,5,5.9,New Zealand,v Netherlands,Hyderabad,09 Oct 2023,ODI # 4663
D Madushanka,10.0,-,80,5,8.0,Sri Lanka,v India,Wankhede,02 Nov 2023,ODI # 4690
A Zampa,3.0,-,8,4,2.66,Australia,v Netherlands,Delhi,25 Oct 2023,ODI # 4681
Mohammed Shami,7.0,2,22,4,3.14,India,v England,Lucknow,29 Oct 2023,ODI # 4686
PA van Meekeren,7.2,-,23,4,3.13,Netherlands,v Bangladesh,Eden Gardens,28 Oct 2023,ODI # 4685
Fazalhaq Farooqi,10.0,1,34,4,3.4,Afghanistan,v Sri Lanka,Pune,30 Oct 2023,ODI # 4687
JJ Bumrah,10.0,-,39,4,3.9,India,v Afghanistan,Delhi,11 Oct 2023,ODI # 4666
RJW Topley,10.0,1,43,4,4.3,England,v Bangladesh,Dharamsala,10 Oct 2023,ODI # 4664
G Coetzee,10.0,1,44,4,4.4,South Africa,v Afghanistan,Ahmedabad,10 Nov 2023,ODI # 4699
KA Maharaj,9.0,-,46,4,5.11,South Africa,v New Zealand,Pune,01 Nov 2023,ODI # 4689
A Zampa,8.0,1,47,4,5.87,Australia,v Sri Lanka,Lucknow,16 Oct 2023,ODI # 4671
D Madushanka,9.4,1,49,4,5.06,Sri Lanka,v Netherlands,Lucknow,21 Oct 2023,ODI # 4676
CAK Rajitha,9.0,-,50,4,5.55,Sri Lanka,v Netherlands,Lucknow,21 Oct 2023,ODI # 4676
